Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 8
Arunachal Pradesh,East Kameng,Measles,11,0,2024-01-25 00:00:00,Under Surveillance
D&N Haveli And Daman And Diu,Daman,Food Poisoning,24,0,2024-01-23 00:00:00,Under Control
Gujarat,Gandhinagar,Acute Diarrheal Disease,117,0,2024-01-23 00:00:00,Under Control
Gujarat,Valsad,Acute Diarrheal Disease,73,0,2024-01-22 00:00:00,Under Control
Jammu and Kashmir,Badgam,Jaundice,46,0,2024-01-24 00:00:00,Under Surveillance
Jharkhand,Khunti,Measles,3,0,2024-01-26 00:00:00,Under Surveillance
Karnataka,Haveri,Acute Diarrheal Disease,54,0,2024-01-22 00:00:00,Under Control
Karnataka,Raichur,Chikungunya,9,0,2024-01-25 00:00:00,Under Surveillance
Kerala,Alappuzha,Mumps,9,0,2024-01-28 00:00:00,Under Surveillance
Kerala,Ernakulam,Acute Diarrheal Disease,123,0,2024-01-23 00:00:00,Under Surveillance
Kerala,Kannur,Melioidosis,1,0,2024-01-25 00:00:00,Under Surveillance
Kerala,Kannur,Melioidosis,1,0,2024-01-22 00:00:00,Under Surveillance
Kerala,Kozhikode,Hepatitis A,27,0,2024-01-24 00:00:00,Under Surveillance
Kerala,Palakkad,Chicken Pox,28,0,2024-01-23 00:00:00,Under Surveillance
Madhya Pradesh,Rewa,Food Poisoning,64,0,2024-01-26 00:00:00,Under Surveillance
Maharashtra,Buldhana,Mumps,5,0,2024-01-25 00:00:00,Under Surveillance
Maharashtra,Palghar,Dengue,16,0,2024-01-24 00:00:00,Under Surveillance
Odisha,Cuttack,Food Poisoning,34,0,2024-01-25 00:00:00,Under Control
Odisha,Ganjam,Acute Diarrheal Disease,19,0,2024-01-23 00:00:00,Under Control
Odisha,Sundargarh,Food Poisoning,27,0,2024-01-27 00:00:00,Under Surveillance
Punjab,Firozepur,Measles,4,0,2024-01-25 00:00:00,Under Surveillance
Tamil Nadu,Thanjavur,Mumps,17,0,2024-01-24 00:00:00,Under Surveillance
Tamil Nadu,Thiruvallur,Chickenpox,14,0,2024-01-22 00:00:00,Under Surveillance
Assam,Lakhimpur,Leptospirosis,4,0,2023-12-22 00:00:00,"Cases  were  reported  from  Village  Kakotitup,  Sub-District Naobaicha,  District  Lakhimpur.  Cases  presented  with  fever headache,   nausea   and   weakness.   4   blood   samples   were collected   and   sent  to   DPHL   Lakhimpur.   1   sample   came positive   for   Leptospira   IgM   by   ELISA.   District   RRT investigated       the       outbreak.       Cases       were       treated symptomatically. Community awareness and health education
given by peripheral team on vector control measures, hygiene and sanitation."
Kerala,Thrissur,Chickenpox,23,0,2024-01-15 00:00:00,"Cases    were    reported    from    Vilwadri    Tution    Centre, Kuthampully, Sub-District Talappilly, District Thrissur. Cases presented with fever with rash. District RRT investigated the outbreak.  Age  group  of  the  affected  cases  were  13-15  years. Cases  were  treated  symptomatically.  Community  awareness
and health education given by peripheral team on vaccination, hygiene and sanitation."
Meghalaya,East Khasi Hills,Measles,66,1,2024-01-08 00:00:00,"Cases were reported from Villages Kenmynsaw  and Kenbah, Sub-District    Mawsynram,    District    East    Khasi    Hills.. Cases  presented  with  fever  with  rash,  cough,  coryza  and conjunctivitis.  6  throat  swab  and  blood  samples  were  tested. Samples  came  positive  for  Measles  IgM  by  ELISA.  District RRT  investigated  the  outbreak.  Age  group  of  the  affected cases  were  1-16  years.  Cases  were  treated  symptomatically. Vitamin A solution were given to them. Immunization history was poor.   Community awareness and health education given
by  peripheral  team  on  vaccination,  hygiene  and  sanitation. 6Y/M expired on 8-01-2024."
Meghalaya,West Jaintia Hills,Measles,24,0,2024-01-15 00:00:00,"Cases   were   reported   from   Maskut   Village,   Sub-District Thadlaskein, District West Jaintia Hills. Cases presented with fever  with  rash.  5  blood  samples  were  collected  and  sent  to Guwahati  Medical  College.  All  5  samples  came  positive  for the  Measles  IgM  by  ELISA.  District  RRT  investigated  the outbreak.  Age  group  of  the  affected  cases  were  1-24  years. Cases were treated symptomatically. Vitamin A solution were given   to   them.   Three   of   the   cases   were   immunized. Community   awareness   and    health   education    given    by
peripheral team on vaccination, hygiene and sanitation."
Meghalaya,West Jaintia Hills,Human Rabies,1,1,2024-01-17 00:00:00,"Case  was  reported  from  Sub-District  Laskein,  District  West Jaintia Hills. A 6 year old female presented with complaints of fever, hydrophobia, and aerophobia. History of dog bite on the 2nd week of Dec, 2023. She reported to UPHC Nongthymmai for  ARV.  District  RRT  investigated  the  outbreak.  The  dog died on the same day of incident. She expired on 12 January 2024.  Community  awareness  and  health  education  given  by
peripheral  team  on  vaccination  for  dog  bite,  hygiene  and sanitation."
Arunachal Pradesh,Papumpare,Mumps,115,0,2024-03-14 00:00:00,Under Surveillance
Assam,Biswanath,Chickenpox,10,0,2024-03-14 00:00:00,Under Surveillance
Assam,Dhubri,Measles,15,0,2024-03-16 00:00:00,Under Surveillance
Assam,Dibrugarh,Measles,14,0,2024-03-11 00:00:00,Under Surveillance
Assam,Goalpara,Measles,17,0,2024-03-11 00:00:00,Under Control
Assam,Jorhat,Human Rabies,1,1,2024-03-11 00:00:00,Under Control
Assam,Sivasagar,Acute Diarrheal Disease,8,0,2024-03-14 00:00:00,Under Control
Bihar,Sheohar,Fever with Rash,7,0,2024-03-15 00:00:00,Under Surveillance
Bihar,Vaishali,Measles,18,0,2024-03-15 00:00:00,Under Surveillance
Chhattisgarh,Bilaspur,Measles,19,0,2024-03-13 00:00:00,Under Control
Chhattisgarh,Bilaspur,Chickenpox,5,0,2024-03-13 00:00:00,Under Control
Chhattisgarh,Durg,Measles,23,0,2024-03-14 00:00:00,Under Control
Gujarat,Ahmedabad,Acute Diarrheal Disease,17,0,2024-03-08 00:00:00,Under Control
Gujarat,Bharuch,Typhoid,59,0,2024-03-12 00:00:00,Under Surveillance
Gujarat,Jamnagar,Measles,10,0,2024-03-11 00:00:00,Under Surveillance
Gujarat,Kheda,Jaundice,6,0,2024-03-11 00:00:00,Under Control
Gujarat,Kheda,Food Poisoning,22,0,2024-03-10 00:00:00,Under Control
Himachal Pradesh,Hamirpur,Acute Diarrheal Disease,290,0,2024-03-11 00:00:00,Under Control
Himachal Pradesh,Kangra,Acute Diarrheal Disease,105,0,2024-03-11 00:00:00,Under Control
Jammu and Kashmir,Pulwama,Hepatitis A,27,0,2024-03-12 00:00:00,Under Surveillance
Jharkhand,Dumka,Chickenpox,10,0,2024-03-10 00:00:00,Under Surveillance
Karnataka,Davangere,Acute Diarrheal Disease,19,1,2024-03-15 00:00:00,Under Surveillance
Karnataka,Udupi,Acute Diarrheal Disease,2,0,2024-03-11 00:00:00,Under Surveillance
Kerala,Ernakulam,Hepatitis A,13,0,2024-03-13 00:00:00,Under Surveillance
Kerala,Idukki,Food Poisoning,11,0,2024-03-12 00:00:00,Under Surveillance
Kerala,Kannur,Food Poisoning,133,0,2024-03-12 00:00:00,Under Surveillance
Kerala,Kasaragod,Mumps,200,0,2024-03-14 00:00:00,Under Surveillance
Kerala,Kozhikode,Hepatitis A,57,1,2024-03-16 00:00:00,Under Surveillance
Kerala,Malappuram,Hepatitis-A,6,0,2024-03-05 00:00:00,Under Surveillance
Kerala,Malappuram,Acute Diarrheal Disease,10,0,2024-03-08 00:00:00,Under Surveillance
Kerala,Malappuram,Dengue,10,0,2024-03-07 00:00:00,Under Surveillance
Kerala,Palakkad,Hepatitis A,15,0,2024-03-17 00:00:00,Under Surveillance
Madhya Pradesh,Ashoknagar,Food Poisoning,7,0,2024-03-15 00:00:00,Under Surveillance
Madhya Pradesh,Barwani,Food Poisoning,11,0,2024-03-09 00:00:00,Under Surveillance
Madhya Pradesh,Chhindwara,Chickenpox,18,0,2024-03-14 00:00:00,Under Surveillance
Madhya Pradesh,Guna,Measles,6,0,2024-03-11 00:00:00,Under Surveillance
Madhya Pradesh,Guna,Measles,6,0,2024-03-11 00:00:00,Under Surveillance
Madhya Pradesh,Indore,Acute Diarrheal Disease,10,0,2024-03-11 00:00:00,Under Control
Madhya Pradesh,Shivpuri,Acute Diarrheal Disease,7,0,2024-03-14 00:00:00,Under Control
Madhya Pradesh,Ujjain,Mumps,5,0,2024-03-11 00:00:00,Under Surveillance
Maharashtra,Amravati,Malaria,64,0,2024-03-12 00:00:00,Under Surveillance
Maharashtra,Dhule,Acute Diarrheal Disease,118,0,2024-03-14 00:00:00,Under Surveillance
Maharashtra,Gadchiroli,Malaria,34,1,2024-03-13 00:00:00,Under Control
Maharashtra,Gadchiroli,Malaria,249,1,2024-03-09 00:00:00,Under Control
Maharashtra,Jalna,Acute Diarrheal Disease,33,0,2024-03-09 00:00:00,Under Control
Maharashtra,Kolhapur,Acute Diarrheal Disease,41,0,2024-03-14 00:00:00,Under Surveillance
Maharashtra,Latur,Dengue,5,0,2024-03-15 00:00:00,Under Surveillance
Maharashtra,Nagpur,Acute Diarrheal Disease,22,0,2024-03-10 00:00:00,Under Control
Maharashtra,Nagpur,Acute Diarrheal Disease,13,0,2024-03-10 00:00:00,Under Control
